Year,Primary MSA City,State,Population,Sheltered Homeless_percentage,Sheltered Homeless - Under 18_percentage,Sheltered Homeless - Age 18 to 24_percentage,Sheltered Homeless - Over 24_percentage,Sheltered Homeless - Female_percentage,Sheltered Homeless - Male_percentage,Sheltered Homeless - Transgender_percentage,Sheltered Homeless - Gender Non-Conforming_percentage,Sheltered Homeless - Hispanic/Latino_percentage,Sheltered Homeless - White_percentage,Sheltered Homeless - Black or African American_percentage,Sheltered Homeless - Asian_percentage,Sheltered Homeless - American Indian or Alaska Native_percentage,Sheltered Homeless - Native Hawaiian or Other Pacific Islander_percentage,Sheltered Homeless - Multiple Races_percentage,Unsheltered Homeless_percentage,Unsheltered Homeless - Under 18_percentage,Unsheltered Homeless - Age 18 to 24_percentage,Unsheltered Homeless - Over 24_percentage,Unsheltered Homeless - Female_percentage,Unsheltered Homeless - Male_percentage,Unsheltered Homeless - Transgender_percentage,Unsheltered Homeless - Gender Non-Conforming_percentage,Unsheltered Homeless - Hispanic/Latino_percentage,Unsheltered Homeless - White_percentage,Unsheltered Homeless - Black or African American_percentage,Unsheltered Homeless - Asian_percentage,Unsheltered Homeless - American Indian or Alaska Native_percentage,Unsheltered Homeless - Native Hawaiian or Other Pacific Islander_percentage,Unsheltered Homeless - Multiple Races_percentage,Overall Homeless_percentage,Overall Homeless - Under 18_percentage,Overall Homeless - Age 18 to 24_percentage,Overall Homeless - Over 24_percentage,Overall Homeless - Female_percentage,Overall Homeless - Male_percentage,Overall Homeless - Transgender_percentage,Overall Homeless - Gender Non-Conforming_percentage,Overall Homeless - Hispanic/Latino_percentage,Overall Homeless - White_percentage,Overall Homeless - Black or African American_percentage,Overall Homeless - Asian_percentage,Overall Homeless - American Indian or Alaska Native_percentage,Overall Homeless - Native Hawaiian or Other Pacific Islander_percentage,Overall Homeless - Multiple Races_percentage
2021,Miami,FL,6109373,0.058663958,0.016679289,0.004206651,0.037778017,0.025469062,0.032982108,0.000180051,3.27E-05,0.015320721,0.019691055,0.037336074,0.000245524,0.00019642,6.55E-05,0.001129412,0.043523288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102187246,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Detroit,MI,4366696,0.048159982,0.011198398,0.004236613,0.032724971,0.018938804,0.029129575,6.87E-05,2.29E-05,0.001442738,0.008610629,0.037923409,0.000229006,0.000206105,9.16E-05,0.001099229,0.000503813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048663795,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Minneapolis,MN,3690987,0.106394306,0.027391047,0.010051512,0.068951747,0.044838955,0.060905118,0.000460581,0.000189651,0.008182093,0.026578257,0.061474072,0.002736395,0.006258489,0.000352209,0.008994884,0.00850721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114901516,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Riverside,CA,4646060,0.040959437,0.008523351,0.002991782,0.029444303,0.019457347,0.021308377,0.000129142,6.46E-05,0.015970521,0.026301856,0.010482,0.000559614,0.000667232,0.000581138,0.002367597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040959437,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Nashville,TN,2011204,0.055041657,0.003828552,0.002138023,0.049075081,0.01496616,0.039876611,0.000198886,0,0.00169053,0.026252931,0.026600981,0.000646379,0.000298329,4.97E-05,0.001193315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055041657,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Tampa,FL,3229077,0.067356709,0.015422364,0.00288008,0.049054265,0.026818809,0.040475963,3.10E-05,3.10E-05,0.006751155,0.032517032,0.03168088,0.00043356,0.000557435,0.000278717,0.001889085,0.031030539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098387248,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,St. Louis,MO,2812477,0.040604777,0.009600079,0.006968946,0.024035752,0.018240149,0.022151292,0.000177779,3.56E-05,0.000711117,0.008640071,0.030222469,0.000568894,0.000106668,7.11E-05,0.000995564,0.006968946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047573722,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Seattle,WA,4016274,0.166373111,0.041481234,0.012648539,0.112243338,0.07046332,0.094191781,0.001070644,0.000647366,0.024101941,0.078779486,0.054652646,0.003510717,0.006946737,0.006747548,0.015735978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166373111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,San Jose,CA,1953270,0.117802454,0.019403359,0.006860291,0.091538804,0.044131124,0.072545014,0.00040957,0.000716747,0.058773237,0.071879464,0.015461252,0.007781822,0.006245936,0.003122968,0.013311012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117802454,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,San Francisco,CA,4616610,0.150998243,0.015054336,0.009249211,0.126694696,0.054108967,0.094354949,0.001862839,0.000671488,0.033466115,0.058007932,0.068643442,0.006216683,0.005111976,0.003530729,0.009487481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150998243,0,0,0,0,0,0,0,0,0,0,0,0,0,0
